Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16
"Hand, Foot, and Mouth Disease",Sores in mouth,Sore throat,General discomfort,Mild fever,Difficulty swallowing,,,,,,,,,,,
Norovirus Infection,Vomiting,Nausea,Fatigue,Loss of appetite,Dehydration,Sweating,Body aches,Rashes,General discomfort,Fever,Irritability,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Bloody stools,Headache,Fatigue,Dehydration,Feverish,General discomfort,Chills,Joint pain,,,,,,,
Norovirus Infection,Muscle aches,Loss of appetite,Body aches,Rashes,Fever,,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Nausea,Stomach cramps,Headache,Fatigue,Dehydration,Loss of appetite,Body aches,Feverish,Chills,,,,,,,
Roseola,High fever,Runny nose,Irritability,Swollen lymph nodes,Headache,Abdominal pain,Rashes,Chills,,,,,,,,
Roseola,Runny nose,Rash,Irritability,Fatigue,Swollen lymph nodes,Sore throat,Headache,Diarrhea,Vomiting,Loss of appetite,Abdominal pain,Body aches,Feverish,,,
Roseola,Rash,Fatigue,Sore throat,Headache,Cough,Red eyes,Diarrhea,Body aches,Rashes,Chills,Feverish,,,,,
Shigellosis (Bacillary Dysentery),Fever,Vomiting,Stomach cramps,Dehydration,Muscle aches,Body aches,Feverish,Rashes,,,,,,,,
Roseola,High fever,Runny nose,Fatigue,Swollen lymph nodes,Sore throat,Red eyes,Diarrhea,Vomiting,Abdominal pain,Body aches,Rashes,Chills,,,,
"Hand, Foot, and Mouth Disease",Sores in mouth,Rash on hands and feet,Blisters,Sore muscles,Difficulty swallowing,,,,,,,,,,,
Norovirus Infection,Stomach cramps,Low-grade fever,Fatigue,Abdominal pain,Dehydration,Chills,Sweating,Rashes,General discomfort,Fever,Irritability,,,,,
Shigellosis (Bacillary Dysentery),Diarrhea,Nausea,Headache,Fatigue,Dehydration,Loss of appetite,Muscle aches,Rashes,Chills,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Stomach cramps,Headache,Dehydration,Loss of appetite,Muscle aches,Feverish,General discomfort,Chills,Joint pain,,,,,,
Roseola,Rash,Irritability,Fatigue,Cough,Loss of appetite,Feverish,,,,,,,,,,
Norovirus Infection,Vomiting,Muscle aches,Nausea,Fatigue,Abdominal pain,Loss of appetite,Dehydration,Chills,Body aches,Rashes,General discomfort,,,,,
Roseola,Runny nose,Irritability,Fatigue,Red eyes,Diarrhea,Body aches,Rashes,,,,,,,,,
Roseola,High fever,Irritability,Fatigue,Sore throat,Headache,Red eyes,Diarrhea,Vomiting,Rashes,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Nausea,Stomach cramps,Rashes,General discomfort,Joint pain,,,,,,,,,,
Roseola,High fever,Irritability,Swollen lymph nodes,Sore throat,Headache,Cough,Vomiting,Loss of appetite,Abdominal pain,Rashes,Chills,Feverish,,,,
"Hand, Foot, and Mouth Disease",Fever,Loss of appetite,Sore throat,Mouth sores,General discomfort,,,,,,,,,,,
Roseola,Irritability,Swollen lymph nodes,Sore throat,Diarrhea,Loss of appetite,Abdominal pain,Chills,,,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Low-grade fever,Nausea,Fatigue,Chills,Sweating,Rashes,Irritability,,,,,,,
Roseola,High fever,Runny nose,Rash,Swollen lymph nodes,Sore throat,Headache,Cough,Red eyes,Vomiting,Abdominal pain,Body aches,Rashes,Chills,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Vomiting,Stomach cramps,Headache,Dehydration,Muscle aches,,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Low-grade fever,Headache,Abdominal pain,Rashes,Fever,,,,,,,,,
Norovirus Infection,Vomiting,Low-grade fever,Nausea,Loss of appetite,Body aches,General discomfort,Irritability,,,,,,,,,
"Hand, Foot, and Mouth Disease",Rash on hands and feet,Red spots,Blisters,Fatigue,Cough,Sore muscles,Headache,Mild fever,,,,,,,,
Roseola,High fever,Runny nose,Rash,Irritability,Fatigue,Vomiting,Abdominal pain,Chills,Feverish,,,,,,,
"Hand, Foot, and Mouth Disease",Loss of appetite,Blisters,Fatigue,Difficulty swallowing,,,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Vomiting,Bloody stools,Headache,Dehydration,Loss of appetite,Body aches,Feverish,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Vomiting,Stomach cramps,Headache,Fatigue,Loss of appetite,Body aches,Feverish,Rashes,General discomfort,Joint pain,,,,,
Roseola,High fever,Rash,Fatigue,Sore throat,Headache,Cough,Red eyes,Diarrhea,Body aches,Rashes,,,,,,
Norovirus Infection,Low-grade fever,Nausea,Abdominal pain,Sweating,Body aches,General discomfort,Fever,,,,,,,,,
Norovirus Infection,Diarrhea,Stomach cramps,Low-grade fever,Headache,Fatigue,Dehydration,Chills,Sweating,Body aches,General discomfort,Fever,Irritability,,,,
Norovirus Infection,Fatigue,Loss of appetite,Chills,Sweating,Body aches,Irritability,,,,,,,,,,
Roseola,High fever,Runny nose,Rash,Swollen lymph nodes,Headache,Cough,Red eyes,Diarrhea,Feverish,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Muscle aches,Nausea,Headache,Fatigue,Loss of appetite,Dehydration,Chills,Body aches,Fever,Irritability,,,
Norovirus Infection,Stomach cramps,Nausea,Headache,Fatigue,Abdominal pain,Loss of appetite,Dehydration,Chills,Sweating,Rashes,Irritability,,,,,
Roseola,Rash,Irritability,Fatigue,Swollen lymph nodes,Sore throat,Headache,Cough,Red eyes,Vomiting,Abdominal pain,Body aches,Rashes,Chills,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Nausea,Vomiting,Bloody stools,Stomach cramps,Headache,Fatigue,Dehydration,Muscle aches,Feverish,Chills,Joint pain,,,,
Norovirus Infection,Low-grade fever,Fatigue,Loss of appetite,Dehydration,Chills,Rashes,General discomfort,Irritability,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Bloody stools,Stomach cramps,Headache,Body aches,Feverish,Rashes,,,,,,,,
Roseola,High fever,Runny nose,Rash,Sore throat,Cough,Diarrhea,Loss of appetite,Rashes,,,,,,,,
Roseola,Runny nose,Irritability,Swollen lymph nodes,Sore throat,Diarrhea,Abdominal pain,Body aches,Chills,Feverish,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Bloody stools,Stomach cramps,Fatigue,Loss of appetite,Rashes,General discomfort,Chills,Joint pain,,,,,,
Mumps,Headache,Pain while chewing or swallowing,Muscle aches,Testicle pain and tenderness,,,,,,,,,,,,
Roseola,High fever,Rash,Irritability,Fatigue,Swollen lymph nodes,Headache,Cough,Diarrhea,Abdominal pain,Body aches,Rashes,Chills,,,,
Roseola,Runny nose,Rash,Irritability,Swollen lymph nodes,Sore throat,Diarrhea,Loss of appetite,Abdominal pain,Rashes,,,,,,,
Roseola,High fever,Fatigue,Swollen lymph nodes,Headache,Red eyes,Vomiting,Loss of appetite,Abdominal pain,Rashes,Feverish,,,,,,
Norovirus Infection,Vomiting,Low-grade fever,Fatigue,Loss of appetite,Body aches,Rashes,Irritability,,,,,,,,,
Norovirus Infection,Stomach cramps,Muscle aches,Headache,Loss of appetite,Dehydration,Body aches,,,,,,,,,,
"Hand, Foot, and Mouth Disease",Sores in mouth,Irritability,Sore throat,Blisters,Difficulty swallowing,,,,,,,,,,,
Roseola,High fever,Runny nose,Rash,Fatigue,Headache,Red eyes,Diarrhea,Loss of appetite,Abdominal pain,,,,,,,
Shigellosis (Bacillary Dysentery),Diarrhea,Headache,Fatigue,Dehydration,Loss of appetite,Body aches,Feverish,General discomfort,Chills,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Nausea,Vomiting,Bloody stools,Stomach cramps,Headache,Fatigue,Dehydration,Loss of appetite,Feverish,General discomfort,,,,
Norovirus Infection,Diarrhea,Low-grade fever,Nausea,Abdominal pain,Dehydration,Chills,Sweating,Body aches,Rashes,Irritability,,,,,,
Norovirus Infection,Diarrhea,Low-grade fever,Headache,Fatigue,Abdominal pain,Loss of appetite,Sweating,General discomfort,,,,,,,,
"Hand, Foot, and Mouth Disease",Fever,Rash on hands and feet,Cough,General discomfort,,,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Nausea,Bloody stools,Fatigue,Muscle aches,Rashes,General discomfort,Chills,Joint pain,,,,,,,
"Hand, Foot, and Mouth Disease",Sores in mouth,Rash on hands and feet,Loss of appetite,Irritability,Sore throat,Mouth sores,Blisters,Sore muscles,,,,,,,,
Roseola,Runny nose,Rash,Sore throat,Headache,Diarrhea,Loss of appetite,Rashes,Chills,,,,,,,,
"Hand, Foot, and Mouth Disease",Rash on hands and feet,Irritability,Sore throat,Blisters,Mild fever,Difficulty swallowing,,,,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Muscle aches,Fatigue,Loss of appetite,Chills,,,,,,,,,
Shigellosis (Bacillary Dysentery),Diarrhea,Nausea,Vomiting,Headache,Fatigue,Dehydration,Loss of appetite,Body aches,Feverish,Chills,Joint pain,,,,,
Norovirus Infection,Vomiting,Low-grade fever,Fatigue,Abdominal pain,Chills,Sweating,Body aches,General discomfort,Fever,Irritability,,,,,,
Roseola,High fever,Runny nose,Rash,Fatigue,Headache,Cough,Vomiting,Loss of appetite,Rashes,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Headache,Loss of appetite,Dehydration,Rashes,General discomfort,Fever,,,,,,,,
Shigellosis (Bacillary Dysentery),Diarrhea,Nausea,Fatigue,Dehydration,Rashes,General discomfort,Joint pain,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Stomach cramps,Headache,Fatigue,Feverish,Chills,Joint pain,,,,,,,
Roseola,Rash,Fatigue,Swollen lymph nodes,Sore throat,Red eyes,Vomiting,Abdominal pain,Body aches,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Vomiting,Stomach cramps,Headache,Fatigue,Loss of appetite,Body aches,Feverish,Rashes,Joint pain,,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Nausea,Vomiting,Headache,Fatigue,Loss of appetite,Body aches,General discomfort,,,,,,,
Roseola,Rash,Irritability,Fatigue,Swollen lymph nodes,Sore throat,Cough,Red eyes,Abdominal pain,Rashes,,,,,,,
Shigellosis (Bacillary Dysentery),Nausea,Headache,Fatigue,Dehydration,Loss of appetite,Muscle aches,Feverish,Rashes,Chills,,,,,,,
Roseola,High fever,Irritability,Headache,Red eyes,Diarrhea,Abdominal pain,Rashes,Chills,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Nausea,Bloody stools,Headache,Fatigue,Dehydration,Loss of appetite,Body aches,Feverish,Rashes,Chills,,,,
Norovirus Infection,Diarrhea,Vomiting,Low-grade fever,Muscle aches,Nausea,Headache,Abdominal pain,Loss of appetite,Dehydration,Sweating,General discomfort,Irritability,,,,
"Hand, Foot, and Mouth Disease",Fever,Rash on hands and feet,Sore throat,Mouth sores,Red spots,Fatigue,Cough,General discomfort,Mild fever,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Nausea,Vomiting,Stomach cramps,Headache,Fatigue,Loss of appetite,Muscle aches,Body aches,Rashes,General discomfort,Chills,Joint pain,,
Roseola,Rash,Irritability,Cough,Diarrhea,Abdominal pain,Body aches,Feverish,,,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Low-grade fever,Headache,Fatigue,Abdominal pain,Loss of appetite,Dehydration,General discomfort,Irritability,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Stomach cramps,Dehydration,Loss of appetite,Body aches,Feverish,Chills,,,,,,,,
Norovirus Infection,Diarrhea,Stomach cramps,Muscle aches,Headache,Fatigue,Loss of appetite,Dehydration,Sweating,Body aches,Rashes,Fever,Irritability,,,,
Norovirus Infection,Vomiting,Stomach cramps,Muscle aches,Nausea,Headache,Loss of appetite,Dehydration,Chills,Sweating,General discomfort,Fever,Irritability,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Nausea,Fatigue,Loss of appetite,Body aches,General discomfort,Chills,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Bloody stools,Stomach cramps,Dehydration,Body aches,Chills,,,,,,,,,
Roseola,Runny nose,Rash,Fatigue,Swollen lymph nodes,Sore throat,Headache,Red eyes,Vomiting,Abdominal pain,Rashes,Chills,,,,,
Roseola,High fever,Runny nose,Rash,Irritability,Swollen lymph nodes,Cough,Diarrhea,Loss of appetite,Abdominal pain,Body aches,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Low-grade fever,Headache,Abdominal pain,Chills,Sweating,Rashes,,,,,,,,
Shigellosis (Bacillary Dysentery),Nausea,Vomiting,Headache,Fatigue,Dehydration,Loss of appetite,Muscle aches,Feverish,Rashes,Chills,,,,,,
Shigellosis (Bacillary Dysentery),Diarrhea,Vomiting,Bloody stools,Headache,Dehydration,Muscle aches,Rashes,General discomfort,Chills,,,,,,,
Shigellosis (Bacillary Dysentery),Bloody stools,Fatigue,Dehydration,Muscle aches,Body aches,Feverish,Rashes,General discomfort,Chills,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Vomiting,Bloody stools,Stomach cramps,Fatigue,Loss of appetite,Body aches,Rashes,General discomfort,Chills,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Vomiting,Bloody stools,Stomach cramps,Headache,Body aches,Feverish,Chills,Joint pain,,,,,
"Hand, Foot, and Mouth Disease",Sores in mouth,Loss of appetite,Mouth sores,Cough,Sore muscles,Difficulty swallowing,,,,,,,,,,
Norovirus Infection,Diarrhea,Low-grade fever,Headache,Abdominal pain,Dehydration,Body aches,Irritability,,,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Loss of appetite,Rashes,General discomfort,Fever,,,,,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Low-grade fever,Fatigue,Dehydration,Chills,Sweating,Body aches,General discomfort,,,,,,,
Scarlet Fever,Swollen glands,Fever,Pale skin around lips,Fever (100.4�F / 38.0�C or higher),Sore and red throat with patches,Difficulty swallowing,Abdominal pain,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Stomach cramps,Headache,Fatigue,Loss of appetite,Body aches,Rashes,Joint pain,,,,,,,,
"Hand, Foot, and Mouth Disease",Fever,Irritability,Sore throat,Mouth sores,Fatigue,Cough,Sore muscles,Headache,General discomfort,Mild fever,Difficulty swallowing,,,,,
Norovirus Infection,Vomiting,Low-grade fever,Fatigue,Loss of appetite,Sweating,General discomfort,Fever,Irritability,,,,,,,,
Head Lice Infestation,Tickling sensation in hair,Itching,Sores from scratching,Difficulty sleeping,"Itching on the scalp, neck, and ears",Tickling feeling,,,,,,,,,,
Pertussis (Whooping Cough),Sneezing,Nasal discharge,Fever,Exhaustion,Sneezing,Low-grade fever,Runny nose,Vomiting after coughing,Fatigue,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Low-grade fever,Fatigue,Abdominal pain,Loss of appetite,Chills,Rashes,General discomfort,Irritability,,,,,
Shigellosis (Bacillary Dysentery),Diarrhea,Nausea,Fatigue,Dehydration,Body aches,Rashes,General discomfort,Chills,Joint pain,,,,,,,
Norovirus Infection,Low-grade fever,Nausea,Fatigue,Abdominal pain,Chills,Rashes,General discomfort,Fever,,,,,,,,
Norovirus Infection,Stomach cramps,Low-grade fever,Muscle aches,Fatigue,Loss of appetite,Dehydration,,,,,,,,,,
Roseola,High fever,Irritability,Fatigue,Headache,Cough,Vomiting,Abdominal pain,Body aches,Rashes,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Bloody stools,Stomach cramps,Fatigue,Dehydration,Loss of appetite,Muscle aches,Feverish,Rashes,General discomfort,,,,,,
Roseola,High fever,Rash,Irritability,Swollen lymph nodes,Loss of appetite,Abdominal pain,Body aches,Feverish,,,,,,,,
Shigellosis (Bacillary Dysentery),Diarrhea,Nausea,Fatigue,Dehydration,Body aches,Rashes,General discomfort,Joint pain,,,,,,,,
Norovirus Infection,Diarrhea,Muscle aches,Nausea,Abdominal pain,Dehydration,Chills,Rashes,Fever,,,,,,,,
Norovirus Infection,Vomiting,Low-grade fever,Nausea,Headache,Fatigue,Abdominal pain,Loss of appetite,Chills,Sweating,Body aches,Rashes,General discomfort,Fever,Irritability,,
Shigellosis (Bacillary Dysentery),Vomiting,Bloody stools,Loss of appetite,Body aches,General discomfort,Joint pain,,,,,,,,,,
Conjunctivitis (Pink Eye),Redness in the white of the eye (sclera) or inner eyelid,Dry or watery eyes (epiphora),Itchy or irritated eyes,Burning sensation in the eyes,Blurred vision (intermittent),Light sensitivity (photophobia),Swollen eyelids (blepharitis),,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Nausea,Vomiting,Bloody stools,Headache,Fatigue,Loss of appetite,Feverish,Joint pain,,,,,,
Shigellosis (Bacillary Dysentery),Nausea,Bloody stools,Stomach cramps,Fatigue,Loss of appetite,Muscle aches,Body aches,Feverish,General discomfort,Joint pain,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Nausea,Vomiting,Bloody stools,Muscle aches,Feverish,Chills,,,,,,,,
Roseola,Rash,Fatigue,Swollen lymph nodes,Abdominal pain,Chills,,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Bloody stools,Stomach cramps,Dehydration,Muscle aches,Feverish,Joint pain,,,,,,,,,
"Hand, Foot, and Mouth Disease",Fever,Loss of appetite,Irritability,Red spots,Fatigue,Sore muscles,Headache,,,,,,,,,
Norovirus Infection,Diarrhea,Stomach cramps,Muscle aches,Fatigue,Abdominal pain,Chills,Body aches,Rashes,,,,,,,,
Roseola,Runny nose,Sore throat,Loss of appetite,Body aches,Feverish,,,,,,,,,,,
Roseola,Runny nose,Irritability,Fatigue,Headache,Red eyes,Vomiting,Abdominal pain,,,,,,,,,
Roseola,High fever,Rash,Irritability,Fatigue,Swollen lymph nodes,Headache,Red eyes,Diarrhea,Body aches,Rashes,Chills,,,,,
Roseola,High fever,Rash,Fatigue,Cough,Red eyes,Diarrhea,Loss of appetite,Body aches,Rashes,Chills,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Vomiting,Stomach cramps,Headache,Fatigue,Loss of appetite,Feverish,General discomfort,Joint pain,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Vomiting,Bloody stools,Stomach cramps,Loss of appetite,Body aches,Rashes,,,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Nausea,Fatigue,Abdominal pain,Loss of appetite,Dehydration,Rashes,General discomfort,Fever,Irritability,,,,
Roseola,Rash,Swollen lymph nodes,Headache,Diarrhea,Abdominal pain,Body aches,Rashes,Chills,,,,,,,,
Roseola,Sore throat,Cough,Red eyes,Vomiting,Abdominal pain,Body aches,Chills,Feverish,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Bloody stools,Headache,Fatigue,Dehydration,Loss of appetite,Body aches,General discomfort,Chills,,,,,,
"Hand, Foot, and Mouth Disease",Fever,Rash on hands and feet,Loss of appetite,Blisters,Cough,Sore muscles,Headache,Difficulty swallowing,,,,,,,,
Norovirus Infection,Stomach cramps,Low-grade fever,Muscle aches,Nausea,Headache,Fatigue,Loss of appetite,Chills,Sweating,Rashes,General discomfort,Irritability,,,,
"Hand, Foot, and Mouth Disease",Loss of appetite,Mouth sores,Red spots,Sore muscles,Mild fever,,,,,,,,,,,
Pertussis (Whooping Cough),Nasal discharge,"Cyanosis (blue lips, tongue, nailbeds)",Sneezing,Severe coughing fits,Fatigue,,,,,,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Low-grade fever,Headache,Abdominal pain,Loss of appetite,Sweating,Body aches,Rashes,,,,,,,
Roseola,Runny nose,Sore throat,Headache,Cough,Red eyes,Vomiting,Chills,,,,,,,,,
Norovirus Infection,Vomiting,Nausea,Headache,Fatigue,Abdominal pain,Chills,Body aches,Rashes,Irritability,,,,,,,
Impetigo,Discolored sores,Yellow crust,Redness,Swelling,Clustered sores,Fever,Discolored marks,,,,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Muscle aches,Nausea,Fatigue,Abdominal pain,Chills,Rashes,Fever,,,,,,,
Roseola,Irritability,Swollen lymph nodes,Sore throat,Diarrhea,Abdominal pain,Rashes,Feverish,,,,,,,,,
"Hand, Foot, and Mouth Disease",Sores in mouth,Rash on hands and feet,Irritability,Red spots,Fatigue,Headache,Difficulty swallowing,,,,,,,,,
Shigellosis (Bacillary Dysentery),Diarrhea,Nausea,Vomiting,Bloody stools,Headache,Dehydration,Loss of appetite,Feverish,Rashes,Chills,,,,,,
Roseola,Irritability,Fatigue,Red eyes,Body aches,Chills,,,,,,,,,,,
Norovirus Infection,Stomach cramps,Low-grade fever,Headache,Fatigue,Chills,Rashes,Irritability,,,,,,,,,
Norovirus Infection,Vomiting,Low-grade fever,Muscle aches,Headache,Abdominal pain,Loss of appetite,Dehydration,Chills,Sweating,Body aches,Rashes,General discomfort,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Low-grade fever,Muscle aches,Fatigue,Abdominal pain,Dehydration,Rashes,,,,,,,
Norovirus Infection,Nausea,Headache,Fatigue,Loss of appetite,Chills,Sweating,General discomfort,Irritability,,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Low-grade fever,Muscle aches,Headache,Fatigue,Chills,Sweating,Body aches,Rashes,Fever,Irritability,,,
Norovirus Infection,Diarrhea,Stomach cramps,Low-grade fever,Headache,General discomfort,,,,,,,,,,,
Norovirus Infection,Low-grade fever,Nausea,Loss of appetite,Chills,Body aches,General discomfort,Fever,Irritability,,,,,,,,
Roseola,Irritability,Swollen lymph nodes,Sore throat,Cough,Diarrhea,Vomiting,Loss of appetite,Abdominal pain,Body aches,Rashes,Chills,Feverish,,,,
Norovirus Infection,Low-grade fever,Nausea,Dehydration,Chills,General discomfort,,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Nausea,Vomiting,Headache,Dehydration,Body aches,General discomfort,Chills,Joint pain,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Nausea,Vomiting,Bloody stools,Stomach cramps,Loss of appetite,Muscle aches,Body aches,General discomfort,Joint pain,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Vomiting,Bloody stools,Stomach cramps,Headache,Muscle aches,General discomfort,,,,,,,,
Norovirus Infection,Diarrhea,Muscle aches,Headache,Fatigue,Abdominal pain,Loss of appetite,Dehydration,Body aches,Fever,,,,,,,
"Hand, Foot, and Mouth Disease",Sores in mouth,Irritability,Fatigue,Headache,General discomfort,Difficulty swallowing,,,,,,,,,,
Roseola,High fever,Runny nose,Rash,Swollen lymph nodes,Red eyes,Abdominal pain,Rashes,,,,,,,,,
Roseola,High fever,Runny nose,Rash,Fatigue,Headache,Cough,Red eyes,Diarrhea,Vomiting,Loss of appetite,Body aches,Feverish,,,,
Norovirus Infection,Nausea,Headache,Loss of appetite,Chills,Sweating,Body aches,General discomfort,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Fatigue,Dehydration,Loss of appetite,Chills,Joint pain,,,,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Muscle aches,Abdominal pain,Loss of appetite,Dehydration,Sweating,Body aches,Rashes,General discomfort,Fever,,,,
Shigellosis (Bacillary Dysentery),Fever,Nausea,Bloody stools,Stomach cramps,Dehydration,Loss of appetite,Rashes,Chills,Joint pain,,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Low-grade fever,Muscle aches,Headache,Fatigue,Abdominal pain,Chills,Sweating,Body aches,Rashes,,,,,
Shigellosis (Bacillary Dysentery),Diarrhea,Nausea,Vomiting,Stomach cramps,Headache,Dehydration,Body aches,Feverish,Rashes,General discomfort,Chills,Joint pain,,,,
Norovirus Infection,Nausea,Abdominal pain,Chills,Body aches,Fever,,,,,,,,,,,
Norovirus Infection,Vomiting,Nausea,Dehydration,Rashes,,,,,,,,,,,,
Norovirus Infection,Vomiting,Nausea,Headache,Fatigue,Chills,Body aches,Rashes,Fever,,,,,,,,
Roseola,High fever,Rash,Swollen lymph nodes,Headache,Red eyes,Diarrhea,Vomiting,Loss of appetite,Abdominal pain,Rashes,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Nausea,Vomiting,Stomach cramps,Headache,Fatigue,Feverish,Rashes,General discomfort,Joint pain,,,,,
Roseola,Fatigue,Swollen lymph nodes,Sore throat,Diarrhea,Vomiting,Loss of appetite,Rashes,,,,,,,,,
Norovirus Infection,Diarrhea,Stomach cramps,Headache,Fatigue,Abdominal pain,Chills,Rashes,General discomfort,Fever,,,,,,,
Shigellosis (Bacillary Dysentery),Nausea,Bloody stools,Stomach cramps,Headache,Loss of appetite,Body aches,Feverish,Rashes,Chills,Joint pain,,,,,,
Norovirus Infection,Stomach cramps,Muscle aches,Abdominal pain,Chills,Sweating,General discomfort,Fever,Irritability,,,,,,,,
Roseola,Runny nose,Swollen lymph nodes,Headache,Red eyes,Abdominal pain,Feverish,,,,,,,,,,
Norovirus Infection,Low-grade fever,Muscle aches,Nausea,Abdominal pain,Chills,Sweating,Body aches,General discomfort,Irritability,,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Low-grade fever,Nausea,Headache,Fatigue,Dehydration,Chills,Sweating,Fever,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Nausea,Headache,Fatigue,Loss of appetite,Dehydration,Chills,Body aches,General discomfort,Fever,,,,,
Roseola,Runny nose,Irritability,Fatigue,Swollen lymph nodes,Headache,Vomiting,Loss of appetite,Body aches,Rashes,Feverish,,,,,,
Norovirus Infection,Vomiting,Low-grade fever,Muscle aches,Nausea,Abdominal pain,Loss of appetite,Chills,Sweating,Fever,Irritability,,,,,,
Roseola,High fever,Fatigue,Swollen lymph nodes,Headache,Red eyes,Vomiting,Loss of appetite,Abdominal pain,Body aches,Chills,Feverish,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Low-grade fever,Muscle aches,Nausea,Fatigue,Abdominal pain,Loss of appetite,Chills,Sweating,General discomfort,,,,,
Norovirus Infection,Vomiting,Low-grade fever,Muscle aches,Nausea,Dehydration,Sweating,Rashes,,,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Muscle aches,Nausea,Loss of appetite,Chills,Sweating,Rashes,Irritability,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Vomiting,Stomach cramps,Headache,Feverish,Rashes,Chills,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Nausea,Bloody stools,Stomach cramps,Dehydration,Body aches,General discomfort,Chills,Joint pain,,,,,,
Scarlet Fever,Red lines in body folds,Pale skin around lips,Fever (100.4�F / 38.0�C or higher),Sore and red throat with patches,Headache and body aches,,,,,,,,,,,
"Hand, Foot, and Mouth Disease",Sores in mouth,Loss of appetite,Sore throat,Mouth sores,Red spots,Fatigue,Sore muscles,General discomfort,,,,,,,,
